Ventas/Fact,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa molida,Mango,Piña,Maracuya,Empanada Queso,,Compras/Fact/Fe,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa Molida,Mango,Piña,Melón Tuna,Maracuya,Empanadas,Pu Frambuesa,Pu Frutilla,Pu Mango,Pu Piña
282,10,,,,,,,,,,10 limon ,,,,,,,,,,,,,,,,
283,20,36,36,,40,,,,,,,,,,,,,,,,,,,,,,
284,,5,,,,,,,,,,,,,,,,,,,,,,,,,
285,5,,,,10,20,,,,,,,,,,,,,,,,,,,,,
286,20,,,,,,,,,,,,,,,,,,,,,,,,,,
287,10,,,5,10,10,,,,,,,,,,,,,,,,,,,,,
288,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
289,19,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,5,,,,,,,,,,,,,,,,,,,,,,,,,
291,,20,,,,,,,,,,,,,,,,,,,,,,,,,
292,5,,,,10,20,,,,,,,,,,,,,,,,,,,,,
293,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
294,15,,,,,,,,,,10 limón,,,,,,,,,,,,,,,,
295,15,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,10,10,,,10,1,1,,,,,,,,,,,,,,,,,,,
297,15,10,10,,,,,,,,,,,,,,,,,,,,,,,,
298,15,,,,,5,,,5,,,,,,,,,,,,,,,,,,
299,,5,,,,,,,,,,,,,,,,,,,,,,,,,
300,10,5,20,,,,,,,,,,,,,,,,,,,,,,,,
301,20,,,,,,,,,,,,,,,,,,,,,,,,,,
302,10,10,2,2,2,,2,2,,,2 melón,,,,,,,,,,,,,,,,
304,,,,,23,,,10,,,,,,,,,,,,,,,,,,,
305,17,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,23,,10,,,,,,,,,,,,,,,,,,,,
307,10,,10,,10,,,,,,,,,,,,,,,,,,,,,,
308,,5,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,10,,,10,8,,,,,,,,,,,,,,,,,,,,
310,,,,,,,10,,,,,,,,,,,,,,,,,,,,
311,,,12,,,,,,,,,,,,,,,,,,,,,,,,
312,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,12 limon ,,,,,,,,,,,,,,,,
314,15,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,
316,20,,,,,,,,,,,,,,,,,,,,,,,,,,
317,10,,,,3,,3,3,,,,,,,,,,,,,,,,,,,
318,10,2,12,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,10,,,,,,,,,,,,,,,,,,,
320,10,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,20,,,,,,,,,,,,,,,,,,,,,,,,,
322,6,4,,,,12,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,12 limón,,,,,,,,,,,,,,,,
324,,,,,,5,,5,,,,,,,,,,,,,,,,,,,
325,20,,,,,,,,,,,,,,,,,,,,,,,,,,
326,10,,,,,,,,,,,,,,,,,,,,,,,,,,
327,10,5,,,,5,,,,,,,,,,,,,,,,,,,,,
329,,10,10,,,10,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,12 Limón,,,,,,,,,,,,,,,,
331,,,,,,,,10,,,,,,,,,,,,,,,,,,,
332,,,,,,,,5,,,,,,,,,,,,,,,,,,,
333,20,,,,10,,,,,,,,,,,,,,,,,,,2,,,2
334,,,5,,,5,5,,,,,,,,,,,,,,,,,,,,
335,10,,12,,,,,,,,,,,,,,,,,,,,,,,,
336,,12,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,10
338,,,,,,,,,,,15 limón ,,,,,,,,,,,,,,,,
339,111,,,,,,,,,,,,,,,,,,,,,,,,,,
340,20,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,10,,,6,6,,,,,,,,,,,,,,,,,,,,
342,,,,,5,,,,,,"5 pu frambuesa, frutilla y mango",,,,,,,,,,,,,8,4,3,
343,,5,5,5,,5,5,5,,,5 melón,,,,,,,,,,5,,,,,,
345,,2,7,2,,6,6,6,,,,,,,,,,,,,,,,,,,
346,15,10,10,,,,3,10,,,,,,,,,,,,,,,,,,,
347,10,2,12,,,,,,,,,,,,,,,,,,,,,,,,
348,5,5,,,,10,,,,,,,,,,,,,,,,,,,,,
349,,20,,,,,,,,,,,,,,,,,,,,,,,,,
350,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
351,20,,,,,,,,,,,,,,,,,,,,,,,,,,
352,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
353,,10,10,,,,10,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,12 LIMONES,,,,,,,,,,,,,,,,
355,200,,,,,,,,,,,,,,,,,,,,,,,,,,
356,20,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,2,,1,1,2,2,,,,,,,,,,,,,,,,,,,
359,20,,,,,,,,,,,,,,,,,,,,,,,,,,
360,5,3,5,,,5,6,5,,,,,,,,,,,,,,,,,,,
361,10,,12,,,,,,,,,,,,,,,,,,,,,,,,
362,,,5,,,,6,5,,,,,,,,,,,,,,,,,,,
364,20,10,,,,,,,,,,,,,,,,,,,,,,,,,
365,200,,,,,,,,,,,,,,,,,,,,,,,,,,
366,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
